Method                                            ,Problem                                           ,ProbSize                                          ,Seed                                              ,Time Init                                         ,Time Ops                                          ,Num Ops                                           ,Init Score                                        ,Final Score                                       ,Procs                                             ,MPI_Nodes                                         ,CUDA_BlockSize                                    ,CUDA_GridSize                                     ,Num Iterations                                    ,PopSize                                           ,ResultsFilename                                   
CUDA_GA                                           ,TSP                                               ,2                                                 ,42                                                ,0.284135                                          ,0.329533                                          ,10240                                             ,2.970230                                          ,0.000007                                          ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-07__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,2                                                 ,43                                                ,0.224485                                          ,0.358762                                          ,10240                                             ,2.970230                                          ,0.000007                                          ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-07__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,2                                                 ,44                                                ,0.268499                                          ,0.391660                                          ,10240                                             ,2.970230                                          ,0.000007                                          ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-07__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,4                                                 ,42                                                ,0.281334                                          ,0.461828                                          ,20480                                             ,1239.783813                                       ,285.881256                                        ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-07__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,4                                                 ,43                                                ,0.275434                                          ,0.460932                                          ,20480                                             ,1239.783813                                       ,285.881256                                        ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-07__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,4                                                 ,44                                                ,0.278021                                          ,0.465404                                          ,20480                                             ,1239.783813                                       ,285.881256                                        ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-07__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,8                                                 ,42                                                ,0.273868                                          ,0.616259                                          ,40960                                             ,10356.532227                                      ,8849.540039                                       ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-07__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,8                                                 ,43                                                ,0.285107                                          ,0.619489                                          ,40960                                             ,10356.532227                                      ,8849.540039                                       ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-07__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,8                                                 ,44                                                ,0.281980                                          ,0.621110                                          ,40960                                             ,10356.532227                                      ,8849.540039                                       ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-07__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,16                                                ,42                                                ,0.290138                                          ,0.938689                                          ,81920                                             ,61274.742188                                      ,42513.511719                                      ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-07__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,16                                                ,43                                                ,0.283889                                          ,0.940434                                          ,81920                                             ,61274.742188                                      ,42513.511719                                      ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,16                                                ,44                                                ,0.277118                                          ,0.934952                                          ,81920                                             ,61274.742188                                      ,42513.511719                                      ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,32                                                ,42                                                ,0.262130                                          ,1.553248                                          ,163840                                            ,177045.937500                                     ,171631.937500                                     ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,32                                                ,43                                                ,0.221988                                          ,1.532109                                          ,163840                                            ,177045.937500                                     ,171631.937500                                     ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,32                                                ,44                                                ,0.245851                                          ,1.546344                                          ,163840                                            ,177045.937500                                     ,171631.937500                                     ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,64                                                ,42                                                ,0.231146                                          ,2.791045                                          ,327680                                            ,510104.437500                                     ,467037.062500                                     ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,64                                                ,43                                                ,0.177955                                          ,2.750495                                          ,327680                                            ,510104.437500                                     ,467037.062500                                     ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,64                                                ,44                                                ,0.164062                                          ,2.730029                                          ,327680                                            ,510104.437500                                     ,467037.062500                                     ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,2                                                 ,42                                                ,0.164962                                          ,0.296759                                          ,20480                                             ,2.970230                                          ,0.000011                                          ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,2                                                 ,43                                                ,0.251181                                          ,0.366031                                          ,20480                                             ,2.970230                                          ,0.000011                                          ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,2                                                 ,44                                                ,0.288536                                          ,0.383269                                          ,20480                                             ,2.970230                                          ,0.000011                                          ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,4                                                 ,42                                                ,0.290391                                          ,0.465122                                          ,40960                                             ,1239.783813                                       ,277.629730                                        ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,4                                                 ,43                                                ,0.287969                                          ,0.467963                                          ,40960                                             ,1239.783813                                       ,277.629730                                        ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,4                                                 ,44                                                ,0.283144                                          ,0.460868                                          ,40960                                             ,1239.783813                                       ,277.629730                                        ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,8                                                 ,42                                                ,0.291578                                          ,0.623960                                          ,81920                                             ,6422.308105                                       ,3639.162109                                       ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,8                                                 ,43                                                ,0.291818                                          ,0.623702                                          ,81920                                             ,6422.308105                                       ,3639.162109                                       ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,8                                                 ,44                                                ,0.285818                                          ,0.620555                                          ,81920                                             ,6422.308105                                       ,3639.162109                                       ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,16                                                ,42                                                ,0.605401                                          ,0.944790                                          ,163840                                            ,61274.742188                                      ,42197.847656                                      ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,16                                                ,43                                                ,0.586037                                          ,0.933408                                          ,163840                                            ,61274.742188                                      ,42197.847656                                      ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,16                                                ,44                                                ,0.289306                                          ,0.935877                                          ,163840                                            ,61274.742188                                      ,42197.847656                                      ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,32                                                ,42                                                ,0.280348                                          ,1.561323                                          ,327680                                            ,177045.937500                                     ,171152.640625                                     ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,32                                                ,43                                                ,0.268023                                          ,1.560956                                          ,327680                                            ,177045.937500                                     ,171152.640625                                     ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,32                                                ,44                                                ,0.222595                                          ,1.529939                                          ,327680                                            ,177045.937500                                     ,171152.640625                                     ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,64                                                ,42                                                ,0.219319                                          ,2.783462                                          ,655360                                            ,477553.343750                                     ,470571.437500                                     ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,64                                                ,43                                                ,0.236266                                          ,2.800554                                          ,655360                                            ,477553.343750                                     ,470571.437500                                     ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-08__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,64                                                ,44                                                ,0.178254                                          ,2.756545                                          ,655360                                            ,477553.343750                                     ,470571.437500                                     ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-09__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,2                                                 ,42                                                ,0.170582                                          ,0.296191                                          ,40960                                             ,1.458226                                          ,0.048408                                          ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-09__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,2                                                 ,43                                                ,0.200404                                          ,0.326958                                          ,40960                                             ,1.458226                                          ,0.048408                                          ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-09__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,2                                                 ,44                                                ,0.230852                                          ,0.349158                                          ,40960                                             ,1.458226                                          ,0.048408                                          ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-09__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,4                                                 ,42                                                ,0.297014                                          ,0.468051                                          ,81920                                             ,194.965347                                        ,121.267036                                        ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-09__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,4                                                 ,43                                                ,0.300474                                          ,0.476975                                          ,81920                                             ,194.965347                                        ,121.267036                                        ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-09__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,4                                                 ,44                                                ,0.290463                                          ,0.474821                                          ,81920                                             ,194.965347                                        ,121.267036                                        ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-09__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,8                                                 ,42                                                ,0.291603                                          ,0.627784                                          ,163840                                            ,6422.308105                                       ,3454.389160                                       ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-09__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,8                                                 ,43                                                ,0.294914                                          ,0.628880                                          ,163840                                            ,6422.308105                                       ,3454.389160                                       ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-09__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,8                                                 ,44                                                ,0.291633                                          ,0.632299                                          ,163840                                            ,6422.308105                                       ,3454.389160                                       ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-09__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,16                                                ,42                                                ,0.294911                                          ,0.942120                                          ,327680                                            ,46818.246094                                      ,21778.083984                                      ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-09__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,16                                                ,43                                                ,0.289102                                          ,0.936388                                          ,327680                                            ,46818.246094                                      ,21778.083984                                      ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-09__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,16                                                ,44                                                ,0.277050                                          ,0.934700                                          ,327680                                            ,46818.246094                                      ,21778.083984                                      ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-09__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,32                                                ,42                                                ,0.264090                                          ,1.560385                                          ,655360                                            ,177045.937500                                     ,170023.937500                                     ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-09__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,32                                                ,43                                                ,0.267554                                          ,1.560321                                          ,655360                                            ,177045.937500                                     ,170023.937500                                     ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_Rosen/2021-06-23-18-29-07//2021-06-23-18-29-09__seeds_43.txt
