Method                                            ,Problem                                           ,ProbSize                                          ,Seed                                              ,Time Init                                         ,Time Ops                                          ,Num Ops                                           ,Init Score                                        ,Final Score                                       ,Procs                                             ,MPI_Nodes                                         ,CUDA_BlockSize                                    ,CUDA_GridSize                                     ,Num Iterations                                    ,PopSize                                           ,ResultsFilename                                   
CUDA_GA                                           ,TSP                                               ,10                                                ,42                                                ,0.331325                                          ,0.349865                                          ,6400                                              ,600.479004                                        ,396.672882                                        ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-38__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,10                                                ,43                                                ,0.285423                                          ,0.405362                                          ,6400                                              ,832.138123                                        ,373.978485                                        ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,10                                                ,44                                                ,0.287079                                          ,0.406498                                          ,6400                                              ,572.665527                                        ,289.212921                                        ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,100                                               ,42                                                ,0.315622                                          ,0.992748                                          ,64000                                             ,11624.131836                                      ,9810.686523                                       ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,100                                               ,43                                                ,0.326423                                          ,1.002770                                          ,64000                                             ,10923.352539                                      ,9148.101562                                       ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,100                                               ,44                                                ,0.325081                                          ,0.995951                                          ,64000                                             ,11803.475586                                      ,8971.788086                                       ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,1000                                              ,42                                                ,0.644005                                          ,7.043968                                          ,640000                                            ,127577.890625                                     ,123777.000000                                     ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,1000                                              ,43                                                ,0.538058                                          ,6.072630                                          ,640000                                            ,125685.359375                                     ,121792.140625                                     ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,1000                                              ,44                                                ,0.671956                                          ,6.085766                                          ,640000                                            ,125187.070312                                     ,122437.015625                                     ,64                                                ,-1                                                ,-1                                                ,-1                                                ,10                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,10                                                ,42                                                ,0.166919                                          ,0.282392                                          ,12800                                             ,535.642578                                        ,380.395294                                        ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,10                                                ,43                                                ,0.303361                                          ,0.378962                                          ,12800                                             ,832.138123                                        ,331.134247                                        ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,10                                                ,44                                                ,0.287440                                          ,0.381057                                          ,12800                                             ,562.548401                                        ,263.445648                                        ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,100                                               ,42                                                ,0.333589                                          ,0.901890                                          ,128000                                            ,11159.735352                                      ,8948.280273                                       ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,100                                               ,43                                                ,0.317592                                          ,0.890400                                          ,128000                                            ,10881.807617                                      ,8269.097656                                       ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,100                                               ,44                                                ,0.354837                                          ,0.912653                                          ,128000                                            ,10223.791992                                      ,8183.836914                                       ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,1000                                              ,42                                                ,0.568609                                          ,6.226263                                          ,1280000                                           ,126325.890625                                     ,122842.945312                                     ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,1000                                              ,43                                                ,0.541676                                          ,6.157583                                          ,1280000                                           ,122952.015625                                     ,117617.234375                                     ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,1000                                              ,44                                                ,0.534995                                          ,6.196145                                          ,1280000                                           ,124928.664062                                     ,120624.609375                                     ,128                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,128                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,10                                                ,42                                                ,0.171741                                          ,0.290022                                          ,25600                                             ,523.757080                                        ,379.036346                                        ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,10                                                ,43                                                ,0.228626                                          ,0.343687                                          ,25600                                             ,780.101929                                        ,316.781158                                        ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,10                                                ,44                                                ,0.297438                                          ,0.386919                                          ,25600                                             ,452.270477                                        ,263.445648                                        ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,100                                               ,42                                                ,0.329705                                          ,0.899231                                          ,256000                                            ,11141.209961                                      ,8862.719727                                       ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-39__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,100                                               ,43                                                ,0.327633                                          ,0.900592                                          ,256000                                            ,10881.807617                                      ,8165.883789                                       ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-40__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,100                                               ,44                                                ,0.348000                                          ,0.917054                                          ,256000                                            ,10223.791992                                      ,8291.616211                                       ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-40__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,1000                                              ,42                                                ,0.669451                                          ,6.269617                                          ,2560000                                           ,126325.890625                                     ,118504.570312                                     ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-40__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,1000                                              ,43                                                ,0.609223                                          ,6.237630                                          ,2560000                                           ,122952.015625                                     ,117394.015625                                     ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-40__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,1000                                              ,44                                                ,0.602479                                          ,6.260008                                          ,2560000                                           ,123207.265625                                     ,118984.375000                                     ,256                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,256                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-40__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,10                                                ,42                                                ,0.185417                                          ,0.322265                                          ,51200                                             ,523.757080                                        ,379.036346                                        ,512                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,512                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-40__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,10                                                ,43                                                ,0.420876                                          ,0.359979                                          ,51200                                             ,718.998901                                        ,316.781158                                        ,512                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,512                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-40__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,10                                                ,44                                                ,0.306765                                          ,0.403588                                          ,51200                                             ,452.270477                                        ,263.445648                                        ,512                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,512                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-40__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,100                                               ,42                                                ,0.353873                                          ,0.937481                                          ,512000                                            ,11141.209961                                      ,8000.206543                                       ,512                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,512                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-40__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,100                                               ,43                                                ,0.336182                                          ,0.931223                                          ,512000                                            ,10840.898438                                      ,8232.085938                                       ,512                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,512                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-40__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,100                                               ,44                                                ,0.361825                                          ,0.952255                                          ,512000                                            ,10223.791992                                      ,7925.641602                                       ,512                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,512                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-40__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,1000                                              ,42                                                ,0.722226                                          ,6.429219                                          ,5120000                                           ,126325.890625                                     ,120982.250000                                     ,512                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,512                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-40__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,1000                                              ,43                                                ,0.655946                                          ,6.417742                                          ,5120000                                           ,122952.015625                                     ,117972.945312                                     ,512                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,512                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-40__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,1000                                              ,44                                                ,0.697210                                          ,6.384398                                          ,5120000                                           ,121784.460938                                     ,114157.265625                                     ,512                                               ,-1                                                ,-1                                                ,-1                                                ,10                                                ,512                                               ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-40__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,10                                                ,42                                                ,0.193789                                          ,0.351704                                          ,102400                                            ,523.757080                                        ,379.036346                                        ,1024                                              ,-1                                                ,-1                                                ,-1                                                ,10                                                ,1024                                              ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-40__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,10                                                ,43                                                ,0.237446                                          ,0.383487                                          ,102400                                            ,709.970276                                        ,316.781158                                        ,1024                                              ,-1                                                ,-1                                                ,-1                                                ,10                                                ,1024                                              ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-40__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,10                                                ,44                                                ,0.310926                                          ,0.428337                                          ,102400                                            ,452.270477                                        ,263.445648                                        ,1024                                              ,-1                                                ,-1                                                ,-1                                                ,10                                                ,1024                                              ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-40__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,100                                               ,42                                                ,0.346257                                          ,0.950022                                          ,1024000                                           ,10770.047852                                      ,8046.483398                                       ,1024                                              ,-1                                                ,-1                                                ,-1                                                ,10                                                ,1024                                              ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-40__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,100                                               ,43                                                ,0.360813                                          ,0.972873                                          ,1024000                                           ,10620.631836                                      ,8085.980957                                       ,1024                                              ,-1                                                ,-1                                                ,-1                                                ,10                                                ,1024                                              ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-40__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,100                                               ,44                                                ,0.346945                                          ,0.961878                                          ,1024000                                           ,10223.791992                                      ,7558.402832                                       ,1024                                              ,-1                                                ,-1                                                ,-1                                                ,10                                                ,1024                                              ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-41__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,1000                                              ,42                                                ,0.739703                                          ,6.475383                                          ,10240000                                          ,126325.890625                                     ,119800.210938                                     ,1024                                              ,-1                                                ,-1                                                ,-1                                                ,10                                                ,1024                                              ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-41__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,1000                                              ,43                                                ,0.676269                                          ,6.446530                                          ,10240000                                          ,122952.015625                                     ,116846.054688                                     ,1024                                              ,-1                                                ,-1                                                ,-1                                                ,10                                                ,1024                                              ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-41__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,1000                                              ,44                                                ,0.665952                                          ,6.427874                                          ,10240000                                          ,121784.460938                                     ,113723.554688                                     ,1024                                              ,-1                                                ,-1                                                ,-1                                                ,10                                                ,1024                                              ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-41__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,10                                                ,42                                                ,0.163493                                          ,0.569741                                          ,12800                                             ,600.479004                                        ,379.036346                                        ,64                                                ,-1                                                ,-1                                                ,-1                                                ,20                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-41__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,10                                                ,43                                                ,0.243757                                          ,0.683928                                          ,12800                                             ,832.138123                                        ,316.781158                                        ,64                                                ,-1                                                ,-1                                                ,-1                                                ,20                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-41__seeds_43.txt
CUDA_GA                                           ,TSP                                               ,10                                                ,44                                                ,0.314397                                          ,0.760506                                          ,12800                                             ,572.665527                                        ,254.515594                                        ,64                                                ,-1                                                ,-1                                                ,-1                                                ,20                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-41__seeds_44.txt
CUDA_GA                                           ,TSP                                               ,100                                               ,42                                                ,0.309913                                          ,1.717371                                          ,128000                                            ,11624.131836                                      ,7323.421875                                       ,64                                                ,-1                                                ,-1                                                ,-1                                                ,20                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-41__seeds_42.txt
CUDA_GA                                           ,TSP                                               ,100                                               ,43                                                ,0.402057                                          ,1.734183                                          ,128000                                            ,10923.352539                                      ,7735.467773                                       ,64                                                ,-1                                                ,-1                                                ,-1                                                ,20                                                ,64                                                ,results/proper_exps/v33_cuda_good_ga/cuda/ga/cuda_ga_experiment_1_standard_TSP/2021-06-23-18-09-38//2021-06-23-18-09-41__seeds_43.txt
